58410.0, {'gneJ207': np.float32(-0.45535713)}, {'gneJ207': 3}, {'gneJ207': 5}, 
58420.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58430.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58440.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58450.0, {'gneJ207': np.float32(-0.17410715)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58460.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58470.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58480.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58490.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58500.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58510.0, {'gneJ207': np.float32(-0.16071428)}, {'gneJ207': 6}, {'gneJ207': 6}, 
58520.0, {'gneJ207': np.float32(-0.5535714)}, {'gneJ207': 10}, {'gneJ207': 11}, 
58530.0, {'gneJ207': np.float32(-1.15625)}, {'gneJ207': 10}, {'gneJ207': 14}, 
58540.0, {'gneJ207': np.float32(-1.0982143)}, {'gneJ207': 9}, {'gneJ207': 9}, 
58550.0, {'gneJ207': np.float32(-0.91964287)}, {'gneJ207': 6}, {'gneJ207': 8}, 
58560.0, {'gneJ207': np.float32(-0.76339287)}, {'gneJ207': 4}, {'gneJ207': 5}, 
58570.0, {'gneJ207': np.float32(-0.7410714)}, {'gneJ207': 4}, {'gneJ207': 5}, 
58580.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 3}, {'gneJ207': 4}, 
58590.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 3}, {'gneJ207': 3}, 
58600.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58610.0, {'gneJ207': np.float32(-0.071428575)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58620.0, {'gneJ207': np.float32(-0.035714287)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58630.0, {'gneJ207': np.float32(-0.125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58640.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58650.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58660.0, {'gneJ207': np.float32(-0.035714287)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58670.0, {'gneJ207': np.float32(-0.125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58680.0, {'gneJ207': np.float32(-0.21428572)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58690.0, {'gneJ207': np.float32(-0.39732143)}, {'gneJ207': 2}, {'gneJ207': 6}, 
58700.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58710.0, {'gneJ207': np.float32(-0.08035714)}, {'gneJ207': 2}, {'gneJ207': 3}, 
58720.0, {'gneJ207': np.float32(-0.1875)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58730.0, {'gneJ207': np.float32(-0.45535713)}, {'gneJ207': 3}, {'gneJ207': 8}, 
58740.0, {'gneJ207': np.float32(-0.5)}, {'gneJ207': 3}, {'gneJ207': 7}, 
58750.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58760.0, {'gneJ207': np.float32(-0.11160714)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58770.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58780.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58790.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58800.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58810.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58820.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58830.0, {'gneJ207': np.float32(-0.08928572)}, {'gneJ207': 2}, {'gneJ207': 5}, 
58840.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58850.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58860.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58870.0, {'gneJ207': np.float32(-0.21875)}, {'gneJ207': 3}, {'gneJ207': 7}, 
58880.0, {'gneJ207': np.float32(-0.071428575)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58890.0, {'gneJ207': np.float32(-0.375)}, {'gneJ207': 3}, {'gneJ207': 12}, 
58900.0, {'gneJ207': np.float32(-0.6875)}, {'gneJ207': 6}, {'gneJ207': 12}, 
58910.0, {'gneJ207': np.float32(-0.32589287)}, {'gneJ207': 3}, {'gneJ207': 5}, 
58920.0, {'gneJ207': np.float32(-0.5625)}, {'gneJ207': 3}, {'gneJ207': 6}, 
58930.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58940.0, {'gneJ207': np.float32(-0.05357143)}, {'gneJ207': 2}, {'gneJ207': 3}, 
58950.0, {'gneJ207': np.float32(-0.25892857)}, {'gneJ207': 2}, {'gneJ207': 7}, 
58960.0, {'gneJ207': np.float32(-0.42410713)}, {'gneJ207': 3}, {'gneJ207': 7}, 
58970.0, {'gneJ207': np.float32(-0.12053572)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58980.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58990.0, {'gneJ207': np.float32(-0.04910714)}, {'gneJ207': 2}, {'gneJ207': 2}, 
59000.0, {'gneJ207': np.float32(-0.06696428)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59010.0, {'gneJ207': np.float32(-0.13392857)}, {'gneJ207': 2}, {'gneJ207': 2}, 
59020.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
59030.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
59040.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59050.0, {'gneJ207': np.float32(-0.07589286)}, {'gneJ207': 1}, {'gneJ207': 3}, 
59060.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
59070.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
59080.0, {'gneJ207': np.float32(-0.04910714)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59090.0, {'gneJ207': np.float32(-0.02232143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59100.0, {'gneJ207': np.float32(-0.084821425)}, {'gneJ207': 1}, {'gneJ207': 2}, 
59110.0, {'gneJ207': np.float32(-0.12946428)}, {'gneJ207': 1}, {'gneJ207': 2}, 
59120.0, {'gneJ207': np.float32(-0.2544643)}, {'gneJ207': 3}, {'gneJ207': 7}, 
59130.0, {'gneJ207': np.float32(-0.54910713)}, {'gneJ207': 4}, {'gneJ207': 9}, 
